psn,psnr,ssim,ksize
5,34.79788190594766,0.925846085790656,3
5,31.15302796315934,0.8720749859530565,5
5,29.06465463615293,0.8253773283163766,7
5,27.78237675003096,0.788715923759862,9
5,26.8446581863242,0.7606155016182922,11
5,26.055462822596738,0.7379307940927091,13
5,25.362546905449506,0.7193537564271598,15
5,24.745373094118204,0.7038270291474847,17
5,24.197120636898404,0.6905290377638703,19
5,23.720163567831733,0.6789305304642144,21
5,23.306180138277103,0.6691209633401209,23
5,22.926814806039715,0.6600152387175583,25
5,22.573970472612444,0.6514467404062646,27
5,22.2441753215679,0.6438027283624674,29
5,21.941896451558645,0.6368578719692761,31
5,21.65853928790725,0.630286259575878,33
5,21.400036324497414,0.624288287265784,35
5,21.163194752740218,0.6185331714609761,37
5,20.950913166588627,0.6129164706951276,39
5,20.764355519656558,0.6076165063663058,41
5,20.595737127527826,0.6027813727143788,43
5,20.435751973520272,0.5982037076060946,45
5,20.282623517252976,0.594095954343016,47
5,20.131291729604083,0.5899126441157353,49
5,19.98671320065291,0.5860294265292433,51
5,19.846039053848425,0.582182996625112,53
5,19.710018971632877,0.5785763490306882,55
5,19.574944154398747,0.5748985656608324,57
5,19.440459230248173,0.5712349201347167,59
5,19.306121414037776,0.5677292796743927,61
15,31.84216976743343,0.9031165378118855,3
15,30.55280302167047,0.8652893701624729,5
15,28.791229670717307,0.8212942347491967,7
15,27.635352627524398,0.7860184617561483,9
15,26.75655963686999,0.7588208333327896,11
15,26.000424714405916,0.7364889631425131,13
15,25.32480181277977,0.7181554396710692,15
15,24.70797385081324,0.7028333711792998,17
15,24.163905145296276,0.6895354008536145,19
15,23.689522730088118,0.678011516828314,21
15,23.283852548356208,0.6682032131370976,23
15,22.915581870122857,0.6595198228136382,25
15,22.565712126914118,0.651080804044721,27
15,22.23986810126857,0.6434327216265233,29
15,21.934068156381215,0.6365669194983062,31
15,21.650197614145878,0.6302586881905122,33
15,21.394459227073114,0.6245712802506719,35
15,21.163000767032262,0.6188679208327357,37
15,20.954599331413718,0.6133669032873708,39
15,20.770452337654376,0.608325815901158,41
15,20.602978553436646,0.6035986052652988,43
15,20.446370970383605,0.5992926196889656,45
15,20.293093298034993,0.5951155545376143,47
15,20.142677549402954,0.5909908785704797,49
15,19.99708548843349,0.5869982142408183,51
15,19.85447742198452,0.583079022548457,53
15,19.716139961612587,0.5793622322405312,55
15,19.57715955330278,0.5755015331698822,57
15,19.44027702604195,0.5718194443767467,59
15,19.303643304124243,0.5681551146337649,61
25,26.436094439429617,0.8087378347122215,3
25,29.90680395161084,0.856784721305484,5
25,28.44247348016843,0.8160333371088779,7
25,27.351399469485745,0.7815518441407378,9
25,26.523977340494458,0.7551077114296613,11
25,25.823123589905748,0.7337633832271088,13
25,25.184114504643638,0.7159841710902657,15
25,24.590147928326132,0.7005060420155007,17
25,24.063660667274878,0.6873380919999169,19
25,23.5999327980894,0.6761720098491406,21
25,23.199282027426573,0.6664228614298727,23
25,22.829587399305787,0.6573448169812671,25
25,22.481974492003047,0.648839195325047,27
25,22.164254816432454,0.6412534300213321,29
25,21.865955358758647,0.6343726976338979,31
25,21.590322011426608,0.6280849507839829,33
25,21.33649816313431,0.622327938349017,35
25,21.108956019226692,0.6170304258196114,37
25,20.909466643664167,0.6118138259855832,39
25,20.733627005915693,0.6068731965366704,41
25,20.56941626250424,0.6022805211622779,43
25,20.413223404489848,0.5977999342120424,45
25,20.262354940012237,0.5936668587542892,47
25,20.11589210391478,0.5896624306311488,49
25,19.971908414649672,0.5856004219238606,51
25,19.832661158975228,0.5816380401769351,53
25,19.695869597968624,0.5777915750288527,55
25,19.560163699573817,0.5740999096615943,57
25,19.4259518432317,0.5704980100302522,59
25,19.29100070274719,0.5669234924361418,61
35,21.307113189484998,0.6028914549649537,3
35,28.84588578970338,0.8415381726905182,5
35,27.957382201818696,0.8078329966849582,7
35,27.054254452869984,0.7759174543602063,9
35,26.30697502600561,0.7506364765113136,11
35,25.654543170161528,0.7298714192520414,13
35,25.046636753475134,0.7124290534720167,15
35,24.498327428529226,0.6979008450777046,17
35,23.997145064431624,0.6854592899624542,19
35,23.560264031344097,0.6747386175696711,21
35,23.15891484660622,0.6650604835005208,23
35,22.797105816483665,0.6562800367496529,25
35,22.450091776680345,0.6477240046831342,27
35,22.13427040044785,0.6402047963756782,29
35,21.841141363432616,0.6334940125708535,31
35,21.57076217048433,0.6275296001880302,33
35,21.316968085014942,0.6215698318341979,35
35,21.08888055240305,0.6162433907035051,37
35,20.881007945482516,0.6107299575187015,39
35,20.69568685254586,0.6056017809971788,41
35,20.52929391058836,0.6008420449728376,43
35,20.372296256359213,0.5963808636141924,45
35,20.22172133327603,0.5921939145675609,47
35,20.07506336572938,0.5881519179990353,49
35,19.93342631929331,0.5842543709244692,51
35,19.79705241045816,0.5804353057092614,53
35,19.664214250307303,0.5768270779454149,55
35,19.53500647435348,0.5731905833154726,57
35,19.405483217024088,0.5697642147860595,59
35,19.274559408950843,0.5664183789143662,61
45,17.191871444744425,0.3460467581513628,3
45,26.62455938654368,0.7988169070975387,5
45,27.33940147744178,0.7963582775664976,7
45,26.691575413121793,0.7680360713010407,9
45,26.060533810310076,0.7445139189775586,11
45,25.445129077417846,0.7247844399557684,13
45,24.866243431525863,0.7085906582767747,15
45,24.335293885693247,0.6947039181325162,17
45,23.853415630954665,0.682694441729938,19
45,23.419602027143686,0.6721610134393273,21
45,23.042241606188334,0.6632352381639817,23
45,22.672320761656305,0.6544276690407516,25
45,22.33200716676498,0.6464098057105412,27
45,22.021563466415472,0.6388705079933678,29
45,21.733774675320056,0.6321148914262968,31
45,21.465055955667623,0.6260194383558338,33
45,21.23147295974414,0.6202326793011762,35
45,21.01532368841461,0.614822407944744,37
45,20.81432736034563,0.6095175498330526,39
45,20.633560727679704,0.6044347207190615,41
45,20.46854611022691,0.5995979120604918,43
45,20.31392182316601,0.5955078519346432,45
45,20.162779284786467,0.5912240015193605,47
45,20.017395883738203,0.5873440757607818,49
45,19.879587768826724,0.583651654051771,51
45,19.746566865904796,0.5801365472651046,53
45,19.616813949188614,0.576711331882842,55
45,19.489171341193966,0.5732445301889029,57
45,19.36329039748134,0.5697742448978731,59
45,19.237416075352705,0.5664913043025462,61
55,13.770919063651037,0.16425142608820134,3
55,21.773909785923262,0.6499904309380541,5
55,25.793123324704005,0.768534071438857,7
55,26.009357413680732,0.7554225225507867,9
55,25.591374041185233,0.7347268126403277,11
